Ano	Região	UF	Código do Município	Nome do Município	Localização	Dependência Administrativa	Nível 1	Nível 2	Nível 3	Nível 4	Nível 5	Nível 6
2017	Norte	RO	1100015	Alta Floresta D'Oeste	Total	Municipal	35,3	41,2	23,5	0,0	0,0	0,0
2017	Norte	RO	1100023	Ariquemes	Total	Municipal	3,8	23,1	42,3	7,7	15,4	7,7
2017	Norte	RO	1100031	Cabixi	Total	Municipal	75,0	0,0	25,0	0,0	0,0	0,0
2017	Norte	RO	1100049	Cacoal	Total	Municipal	0,0	66,7	33,3	0,0	0,0	0,0
2017	Norte	RO	1100056	Cerejeiras	Total	Municipal	44,4	33,3	22,3	0,0	0,0	0,0
2017	Norte	RO	1100064	Colorado do Oeste	Total	Municipal	0,0	100,0	0,0	0,0	0,0	0,0
2017	Norte	RO	1100072	Corumbiara	Total	Municipal	20,0	60,0	20,0	0,0	0,0	0,0
2017	Norte	RO	1100080	Costa Marques	Total	Municipal	0,0	90,0	0,0	10,0	0,0	0,0
2017	Norte	RO	1100098	Espigão D'Oeste	Total	Municipal	10,0	30,0	60,0	0,0	0,0	0,0
2017	Norte	RO	1100106	Guajará-Mirim	Total	Municipal	40,9	18,2	31,8	0,0	9,1	0,0
2017	Norte	RO	1100114	Jaru	Total	Municipal	0,0	52,6	31,6	5,3	10,5	0,0
2017	Norte	RO	1100122	Ji-Paraná	Total	Municipal	13,8	62,1	13,8	0,0	10,3	0,0
2017	Norte	RO	1100130	Machadinho D'Oeste	Total	Municipal	30,4	47,8	17,4	4,4	0,0	0,0
2017	Norte	RO	1100148	Nova Brasilândia D'Oeste	Total	Municipal	0,0	16,7	83,3	0,0	0,0	0,0
2017	Norte	RO	1100155	Ouro Preto do Oeste	Total	Municipal	0,0	73,3	20,0	0,0	6,7	0,0
2017	Norte	RO	1100189	Pimenta Bueno	Total	Municipal	17,6	52,9	17,6	0,0	11,9	0,0
2017	Norte	RO	1100205	Porto Velho	Total	Municipal	19,0	45,3	17,5	2,2	11,7	4,3
2017	Norte	RO	1100254	Presidente Médici	Total	Municipal	0,0	55,6	44,4	0,0	0,0	0,0
2017	Norte	RO	1100262	Rio Crespo	Total	Municipal	0,0	50,0	50,0	0,0	0,0	0,0
2017	Norte	RO	1100288	Rolim de Moura	Total	Municipal	0,0	66,7	16,7	8,3	8,3	0,0
2017	Norte	RO	1100296	Santa Luzia D'Oeste	Total	Municipal	25,0	50,0	25,0	0,0	0,0	0,0
2017	Norte	RO	1100304	Vilhena	Total	Municipal	7,4	70,4	14,8	0,0	7,4	0,0
2017	Norte	RO	1100320	São Miguel do Guaporé	Total	Municipal	7,7	7,7	76,9	0,0	7,7	0,0
2017	Norte	RO	1100338	Nova Mamoré	Total	Municipal	74,1	16,7	5,6	0,0	1,9	1,7
2017	Norte	RO	1100346	Alvorada D'Oeste	Total	Municipal	18,2	27,3	54,5	0,0	0,0	0,0
2017	Norte	RO	1100379	Alto Alegre dos Parecis	Total	Municipal	0,0	33,3	66,7	0,0	0,0	0,0
2017	Norte	RO	1100403	Alto Paraíso	Total	Municipal	16,7	16,7	50,0	8,3	0,0	8,3
2017	Norte	RO	1100452	Buritis	Total	Municipal	52,2	21,7	21,7	0,0	4,4	0,0
2017	Norte	RO	1100502	Novo Horizonte do Oeste	Total	Municipal	33,3	50,0	16,7	0,0	0,0	0,0
2017	Norte	RO	1100601	Cacaulândia	Total	Municipal	0,0	75,0	0,0	0,0	25,0	0,0
2017	Norte	RO	1100700	Campo Novo de Rondônia	Total	Municipal	0,0	50,0	50,0	0,0	0,0	0,0
2017	Norte	RO	1100809	Candeias do Jamari	Total	Municipal	0,0	76,9	0,0	0,0	7,7	15,4
2017	Norte	RO	1100908	Castanheiras	Total	Municipal	0,0	50,0	50,0	0,0	0,0	0,0
2017	Norte	RO	1100924	Chupinguaia	Total	Municipal	36,4	36,4	27,2	0,0	0,0	0,0
2017	Norte	RO	1100940	Cujubim	Total	Municipal	0,0	33,3	50,0	0,0	0,0	16,7
2017	Norte	RO	1101005	Governador Jorge Teixeira	Total	Municipal	11,1	44,4	33,3	11,2	0,0	0,0
2017	Norte	RO	1101104	Itapuã do Oeste	Total	Municipal	42,9	42,9	0,0	0,0	14,2	0,0
2017	Norte	RO	1101203	Ministro Andreazza	Total	Municipal	16,7	16,7	50,0	0,0	16,6	0,0
2017	Norte	RO	1101302	Mirante da Serra	Total	Municipal	16,7	33,3	50,0	0,0	0,0	0,0
2017	Norte	RO	1101401	Monte Negro	Total	Municipal	16,7	33,3	50,0	0,0	0,0	0,0
2017	Norte	RO	1101435	Nova União	Total	Municipal	0,0	0,0	100,0	0,0	0,0	0,0
2017	Norte	RO	1101450	Parecis	Total	Municipal	33,3	33,3	0,0	33,4	0,0	0,0
2017	Norte	RO	1101468	Pimenteiras do Oeste	Total	Municipal	0,0	100,0	0,0	0,0	0,0	0,0
2017	Norte	RO	1101476	Primavera de Rondônia	Total	Municipal	66,7	0,0	33,3	0,0	0,0	0,0
2017	Norte	RO	1101484	São Felipe D'Oeste	Total	Municipal	0,0	66,7	33,3	0,0	0,0	0,0
2017	Norte	RO	1101492	São Francisco do Guaporé	Total	Municipal	0,0	22,2	66,7	11,1	0,0	0,0
2017	Norte	RO	1101500	Seringueiras	Total	Municipal	0,0	0,0	100,0	0,0	0,0	0,0
2017	Norte	RO	1101559	Teixeirópolis	Total	Municipal	25,0	25,0	50,0	0,0	0,0	0,0
2017	Norte	RO	1101609	Theobroma	Total	Municipal	0,0	37,5	62,5	0,0	0,0	0,0
2017	Norte	RO	1101708	Urupá	Total	Municipal	0,0	25,0	75,0	0,0	0,0	0,0
2017	Norte	RO	1101757	Vale do Anari	Total	Municipal	50,0	37,5	0,0	0,0	12,5	0,0
2017	Norte	RO	1101807	Vale do Paraíso	Total	Municipal	20,0	40,0	20,0	0,0	20,0	0,0
2017	Norte	AC	1200013	Acrelândia	Total	Municipal	33,3	33,3	0,0	11,1	22,3	0,0
2017	Norte	AC	1200054	Assis Brasil	Total	Municipal	73,0	5,4	10,8	10,8	0,0	0,0
2017	Norte	AC	1200104	Brasiléia	Total	Municipal	77,4	13,2	1,9	3,8	3,7	0,0
2017	Norte	AC	1200138	Bujari	Total	Municipal	73,3	20,0	6,7	0,0	0,0	0,0
2017	Norte	AC	1200179	Capixaba	Total	Municipal	28,6	21,4	7,1	28,6	14,3	0,0
2017	Norte	AC	1200203	Cruzeiro do Sul	Total	Municipal	29,0	43,9	23,4	0,9	2,8	0,0
2017	Norte	AC	1200252	Epitaciolândia	Total	Municipal	50,0	50,0	0,0	0,0	0,0	0,0
2017	Norte	AC	1200302	Feijó	Total	Municipal	58,7	3,3	31,5	0,0	6,5	0,0
2017	Norte	AC	1200328	Jordão	Total	Municipal	7,7	15,4	75,4	1,5	0,0	0,0
2017	Norte	AC	1200336	Mâncio Lima	Total	Municipal	38,9	33,3	11,1	11,1	5,6	0,0
2017	Norte	AC	1200344	Manoel Urbano	Total	Municipal	42,3	38,5	19,2	0,0	0,0	0,0
2017	Norte	AC	1200351	Marechal Thaumaturgo	Total	Municipal	35,3	16,2	30,9	14,7	2,9	0,0
2017	Norte	AC	1200385	Plácido de Castro	Total	Municipal	6,7	26,7	20,0	13,3	33,3	0,0
2017	Norte	AC	1200393	Porto Walter	Total	Municipal	22,2	19,4	22,2	8,3	27,9	0,0
2017	Norte	AC	1200401	Rio Branco	Total	Municipal	13,3	69,9	2,4	1,2	13,2	0,0
2017	Norte	AC	1200427	Rodrigues Alves	Total	Municipal	37,3	29,4	0,0	15,7	17,6	0,0
2017	Norte	AC	1200435	Santa Rosa do Purus	Total	Municipal	16,7	4,2	77,1	0,0	2,0	0,0
2017	Norte	AC	1200450	Senador Guiomard	Total	Municipal	15,4	69,2	0,0	7,7	7,7	0,0
2017	Norte	AC	1200500	Sena Madureira	Total	Municipal	60,0	22,5	16,3	0,0	1,2	0,0
2017	Norte	AC	1200609	Tarauacá	Total	Municipal	34,8	13,0	10,9	6,5	32,6	2,2
